"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ASTTHFDW","webpage","","","Boys Boyz Bois (eBook, 2012) [UCLA Library]","","","","","http://ucla.worldcat.org/title/boys-boyz-bois/oclc/823389526&referer=brief_results","","","2016-05-12 20:55:07","2016-05-12 20:55:07","2016-05-12 20:55:07","","","","","","","","","","","","","","","","","","","","","","","/Users/karlacontreras/Library/Application Support/Zotero/Profiles/v1v2wix2.default/zotero/storage/3MWW5J92/823389526&referer=brief_results.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AVPHBGBX","bookSection","2001","Taylor, Clyde R.","Black Silence and the Politics of Representation","Oscar Micheaux and His Circle: African-American Filmmaking and Race Cinema of the Silent Era","978-0-253-33994-2","","","","","2001","2016-06-03 21:47:27","2016-06-03 21:48:31","","","","","","","","","","","","","Indiana University Press","Bloomington","","","","","","","","","","","","","","Bowser, Pearl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B82X3T6N","book","1977","Cripps, Thomas","Slow Fade to Black Negro in American Film, 1900-42.","","978-0-19-972787-2","","","http://public.eblib.com/choice/PublicFullRecord.aspx?p=253377","Set against the backdrop of the black struggle in society, Slow Fade to Black is the definitive history of African-American accomplishment in film--both before and behind the camera--from the earliest movies through World War II. As he records the changing attitudes toward African-Americans both in Hollywood and the nation at large, Cripps explores the growth of discrimination as filmmakers became more and more intrigued with myths of the Old South: the """"lost cause"""" aspect of the Civil War, the stately mansions and gracious ladies of the antebellum South, the """"happy"""" slaves singing in the.","1977","2016-04-19 22:08:29","2016-04-19 22:08:29","2016-04-19 22:08:29","","","","","","","","","","","","Oxford University Press","Cary","English","","","","","Open WorldCat","","","","","","added","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDNKJAHT","book","1990","Null, Gary","Black Hollywood : the black performer in motion pictures","","978-0-8065-0908-2","","","","","1990","2016-04-15 03:48:39","2016-04-15 03:48:39","","","","","","","","Black Hollywood","","","","","Carol Pub. Group","New York","","","","","","","","","","/Users/karlacontreras/Library/Application Support/Zotero/Profiles/v1v2wix2.default/zotero/storage/QNSXFR6M/21545833&referer=brief_results.html","","","","","","","","","","","","","","","","","","","","","","","1st Carol Pub. Group ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDX5SMQW","webpage","","","Black Film Resarch Online","","","","","http://blackfilm.uchicago.edu/research_projects/spencer_williams.shtml","","","2016-04-21 19:41:43","2016-04-21 19:41:43","2016-04-21 19:41:43","","","","","","","","","","","","","","","","","","","","","","","/Users/karlacontreras/Library/Application Support/Zotero/Profiles/v1v2wix2.default/zotero/storage/IUEM7Z9W/spencer_williams.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BR3F2BX6","webpage","","","African-American Writers and Pre-1950 Cinema - ProQuest","","","","","http://search.proquest.com/docview/2037662/99B7A71090194D05PQ/20?accountid=14512","","","2016-04-14 21:29:47","2016-04-14 21:29:47","2016-04-14 21:28:29","","","","","","","","","","","","","","","","","","","","","","","/Users/karlacontreras/Library/Application Support/Zotero/Profiles/v1v2wix2.default/zotero/storage/8GIAARU6/African-American Writers and Pre-1950 Cinema - Pro.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BT3BZI4Z","bookSection","2016","Field, Allyson Nadia","The Ambitions of William Foster: Entrepreneurial Filmmaking at the Limits of Uplift Cinema","Early Race Filmmaking in America","","","","","","2016","2016-06-06 20:35:48","2016-06-06 20:38:18","","53-71","","","","","","","Routledge Advances in Film Studies","","","","Routledge","New York","","","","","","","","","","","","","","","","","","","Lupack, Barbara","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BTATCUIH","book","1993","Diawara, Manthia","Black American cinema","","978-0-415-90396-7","","","","","1993","2016-04-14 21:15:04","2016-04-14 21:15:04","","","","","","","","","","","","","Routledge","New York","","","","","","","","","","/Users/karlacontreras/Library/Application Support/Zotero/Profiles/v1v2wix2.default/zotero/storage/WGDGPX3R/26633666&referer=brief_results.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CI5IK5R8","book","2001","Gaines, Jane","Fire and desire: mixed-race movies in the silent era","","978-0-226-27874-2 978-0-226-27875-9","","","","","2001","2016-04-19 22:05:57","2016-04-19 22:05:57","","","","","","","","Fire and desire","","","","","University of Chicago Press","Chicago","English","","","","","Open WorldCat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUKW6B9W","book","1998","Carby, Hazel","Race men","","978-0-674-02919-4","","","","","1998","2016-05-16 17:52:26","2016-05-16 17:52:26","","","","","","","","","","","","","Harvard University Press,","Cambridge, Mass. :","","","","","","","","","","/Users/karlacontreras/Library/Application Support/Zotero/Profiles/v1v2wix2.default/zotero/storage/KVC4XRV4/607865202&referer=brief_results.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
